2022-07-22 15:17:08.663090, honda
2022-07-22 15:17:17.413102, BMW
2022-07-22 15:17:17.413102, honda
2022-07-22 15:17:23.693111, BMW
2022-07-22 15:17:23.693111, honda
2022-07-22 15:17:44.595639, BMW
2022-07-22 15:17:58.375658, BMW
2022-07-22 15:18:27.225698, BMW
2022-07-22 15:18:34.875709, BMW
2022-07-22 15:18:39.005715, BMW
2022-07-22 15:18:47.665727, BMW
2022-07-22 15:18:52.797736, BMW
2022-07-22 15:19:22.558944, BMW
2022-07-22 15:19:22.558944, honda
2022-07-22 15:19:26.341502, BMW
2022-07-22 15:19:29.766554, BMW
2022-07-22 15:19:29.766554, honda
2022-07-22 15:20:00.014322, BMW
2022-07-22 15:20:06.714331, BMW
2022-07-22 15:20:06.714331, honda
2022-07-22 15:22:46.784496, BMW
2022-07-22 15:22:46.784496, honda
2022-07-22 15:24:01.319961, BMW
2022-07-22 15:24:01.319961, honda
2022-07-22 15:24:24.807121, BMW
2022-07-22 15:24:40.409860, BMW
2022-07-22 15:24:40.409860, honda
